Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,,Gross profit,
Red Velvet - All item 20K,10015,Non Coffee,12,"Rp 240,000",1,"Rp 20,000",0,"Rp 220,000",,"Rp 220,000",
Regal Coffee Latte - All item 20K,10011,Coffee Milk Based,12,"Rp 240,000",0,Rp 0,0,"Rp 240,000",,"Rp 240,000",
Salted egg chicken,10023,Main Course,15,"Rp 450,000",2,"Rp 60,000",0,"Rp 390,000",,"Rp 390,000",
Soy honey chicken,10031,Main Course,31,"Rp 868,000",0,Rp 0,0,"Rp 868,000",,"Rp 868,000",
Still DRE,10063,Mocktail,7,"Rp 175,000",2,"Rp 50,000",0,"Rp 125,000",,"Rp 125,000",
Still DRE - All item 20k,10014,Mocktail,10,"Rp 200,000",0,Rp 0,0,"Rp 200,000",,"Rp 200,000",
Sweet toast,10032,Dessert,3,"Rp 60,000",0,Rp 0,0,"Rp 60,000",,"Rp 60,000",
Thai Basil Chicken,10038,Main Course,7,"Rp 175,000",0,Rp 0,0,"Rp 175,000",,"Rp 175,000",
V60,10050,Filtered Coffee,4,"Rp 92,000",0,Rp 0,0,"Rp 92,000",,"Rp 92,000",
V60 - All item 20K,10007,Filtered Coffee,2,"Rp 40,000",0,Rp 0,0,"Rp 40,000",,"Rp 40,000",
TOTAL,,,791,"Rp 17,934,000",36,"Rp 790,000",0,"Rp 17,144,000",,"Rp 17,144,000",
